ModuleID	ModuleSN	BaremoduleID	SensorSN
KEKProdQ1	20UPGM23610013	20UPGB43320001	20UPGS33300920
KEKProdQ2	20UPGM23610014	20UPGB43320002	20UPGS33300921
KEKProdQ3	20UPGM23610015	20UPGB43320003	20UPGS33300922
KEKProdQ4	20UPGM23610017	20UPGB43320004	20UPGS33300923
KEKProdQ5	20UPGM23610018	20UPGB43320005	20UPGS33300926
KEKProdQ6	20UPGM23610019	20UPGB43320006	20UPGS33300927
KEKProdQ7	20UPGM23610020	20UPGB43320007	20UPGS33300928
KEKProdQ8	20UPGM23610026	20UPGB43320008	20UPGS33300929
KEKProdQ10	20UPGM23610027	20UPGB43321001	20UPGS33300933
KEKProdQ11	20UPGM23610028	20UPGB43321002	20UPGS33300934
KEKProdQ12	20UPGM23610029	20UPGB43321003	20UPGS33300936
KEKProdQ13	20UPGM23610030	20UPGB43322001	20UPGS33300974
KEKProdQ14	20UPGM23610031	20UPGB43322002	20UPGS33300975
KEKProdQ15	20UPGM23610032	20UPGB43322003	20UPGS33300976
KEKProdQ16	20UPGM23610034	20UPGB43322004	20UPGS33300977
KEKProdQ17	20UPGM23610035	20UPGB43322005	20UPGS33300978
KEKProdQ18	20UPGM23610036	20UPGB43322006	20UPGS33300979
KEKProdQ19	20UPGM23610037	20UPGB43323001	20UPGS33300962
KEKProdQ20	20UPGM23610038	20UPGB43323002	20UPGS33300963
KEKProdQ21	20UPGM23610039	20UPGB43323003	20UPGS33300964
KEKProdQ22	20UPGM23610046	20UPGB43323004	20UPGS33300965
KEKProdQ23	20UPGM23610047	20UPGB43323005	20UPGS33300966
KEKProdQ24	20UPGM23610048	20UPGB43323006	20UPGS33300968
KEKProdQ25	20UPGM23610049	20UPGB43323007	20UPGS33300969
KEKProdQ26	20UPGM23610050	20UPGB43323008	20UPGS33300970
KEKProdQ27	20UPGM23610051	20UPGB43323009	20UPGS33300971
KEKProdQ28	20UPGM23610052	20UPGB43323010	20UPGS33300972
KEKProdQ29	20UPGM23610053	20UPGB43324001	20UPGS33300981
KEKProdQ30	20UPGM23610054	20UPGB43324002	20UPGS33300982
KEKProdQ31	20UPGM23610055	20UPGB43324003	20UPGS33300983
KEKProdQ32	20UPGM23610056	20UPGB43324004	20UPGS33300984
KEKProdQ33	20UPGM23610057	20UPGB43324005	20UPGS33300985
KEKProdQ34	20UPGM23610058	20UPGB43324006	20UPGS33300986
KEKProdQ35	20UPGM23610059	20UPGB43324007	20UPGS33300987
KEKProdQ36	20UPGM23610060	20UPGB43324008	20UPGS33300988
KEKProdQ37	20UPGM23610061	20UPGB43324009	20UPGS33300989
KEKProdQ38	20UPGM23610062	20UPGB43324010	20UPGS33300991
KEKProdQ39	20UPGM23610063	20UPGB43324011	20UPGS33300992
KEKProdQ40	20UPGM23610064	20UPGB43324012	20UPGS33300993
KEKProdQ41	20UPGM23610065	20UPGB43324013	20UPGS33300994
KEKProdQ42	20UPGM23610066	20UPGB43324014	20UPGS33300995
KEKProdQ43	20UPGM23610067	20UPGB43324015	20UPGS33300996
KEKProdQ44	20UPGM23610068	20UPGB43324016	20UPGS33300997
KEKProdQ45	20UPGM23610070	20UPGB43325001	20UPGS33300999
KEKProdQ46	20UPGM23610071	20UPGB43325002	20UPGS33301000
KEKProdQ47	20UPGM23610072	20UPGB43325003	20UPGS33301001
KEKProdQ48	20UPGM23610073	20UPGB43325004	20UPGS33301002
KEKProdQ49	20UPGM23610074	20UPGB43325005	20UPGS33301003
KEKProdQ50	20UPGM23610075	20UPGB43325006	20UPGS33301005
KEKProdQ52	20UPGM23610076	20UPGB43325008	20UPGS33301007
KEKProdQ53	20UPGM23610077	20UPGB43325009	20UPGS33301008
KEKProdQ54	20UPGM23610078	20UPGB43325010	20UPGS33301009
KEKProdQ55	20UPGM23610079	20UPGB43325011	20UPGS33301011
KEKProdQ56	20UPGM23610080	20UPGB43325012	20UPGS33301012
KEKProdQ57	20UPGM23610081	20UPGB43325013	20UPGS33301013
KEKProdQ58	20UPGM23610082	20UPGB43325014	20UPGS33301014
KEKProdQ59	20UPGM23610083	20UPGB43325015	20UPGS33301015
KEKProdQ60	20UPGM23610084	20UPGB43325016	20UPGS33301016
KEKProdQ61	20UPGM23610085	20UPGB43325017	20UPGS33301017
KEKProdQ62	20UPGM23610086	20UPGB43325018	20UPGS33301018
KEKProdQ63	20UPGM23610088	20UPGB43325019	20UPGS33301019
KEKProdQ64	20UPGM23610089	20UPGB43325020	20UPGS33301021
KEKProdQ65	20UPGM23610090	20UPGB43325021	20UPGS33301023
KEKProdQ66	20UPGM23610091	20UPGB43325022	20UPGS33301025
KEKProdQ67	20UPGM23610092	20UPGB43325023	20UPGS33301026
KEKProdQ68	20UPGM23610093	20UPGB43325024	20UPGS33301027
KEKProdQ69	20UPGM23610094	20UPGB43325025	20UPGS33301028
KEKProdQ71	20UPGM23610095	20UPGB43325027	20UPGS33301031
KEKProdQ72	20UPGM23610096	20UPGB43325028	20UPGS33301032
KEKProdQ73	20UPGM23610098	20UPGB43325029	20UPGS33301033
KEKProdQ74	20UPGM23610099	20UPGB43326001	20UPGS33301034
KEKProdQ75	20UPGM23610101	20UPGB43326002	20UPGS33301035
KEKProdQ76	20UPGM23610102	20UPGB43326003	20UPGS33301036
KEKProdQ77	20UPGM23610103	20UPGB43326004	20UPGS33301037
KEKProdQ78	20UPGM23610104	20UPGB43326005	20UPGS33301038
KEKProdQ79	20UPGM23610105	20UPGB43326006	20UPGS33301039
KEKProdQ81	20UPGM23610106	20UPGB43326008	20UPGS33301041
KEKProdQ82	20UPGM23610107	20UPGB43326009	20UPGS33301042
KEKProdQ83	20UPGM23610108	20UPGB43326010	20UPGS33301043
KEKProdQ84	20UPGM23610109	20UPGB43326011	20UPGS33301045
KEKProdQ85	20UPGM23610110	20UPGB43326012	20UPGS33301047
KEKProdQ86	20UPGM23610111	20UPGB43326013	20UPGS33301048
KEKProdQ87	20UPGM23610112	20UPGB43326014	20UPGS33301049
KEKProdQ88	20UPGM23610113	20UPGB43326015	20UPGS33301050
KEKProdQ89	20UPGM23610114	20UPGB43326016	20UPGS33301051
KEKProdQ90	20UPGM23610115	20UPGB43326017	20UPGS33301052
KEKProdQ91	20UPGM23610116	20UPGB43326018	20UPGS33301053
KEKProdQ92	20UPGM23610117	20UPGB43326019	20UPGS33301054
KEKProdQ93	20UPGM23610118	20UPGB43326020	20UPGS33301055
KEKProdQ94	20UPGM23610119	20UPGB43326021	20UPGS33301056
KEKProdQ95	20UPGM23610120	20UPGB43326022	20UPGS33301057
KEKProdQ96	20UPGM23610121	20UPGB43326023	20UPGS33301058
KEKProdQ97	20UPGM23610122	20UPGB43326024	20UPGS33301059
KEKProdQ98	20UPGM23610123	20UPGB43326025	20UPGS33301060
KEKProdQ99	20UPGM23610124	20UPGB43326026	20UPGS33301061
KEKProdQ100	20UPGM23610125	20UPGB43326027	20UPGS33301062
KEKProdQ101	20UPGM23610126	20UPGB43326028	20UPGS33301063
KEKProdQ102	20UPGM23610127	20UPGB43326029	20UPGS33301064
KEKProdQ104	20UPGM23610128	20UPGB43326031	20UPGS33301066
KEKProdQ105	20UPGM23610129	20UPGB43326032	20UPGS33301067
KEKProdQ106	20UPGM23610130	20UPGB43326033	20UPGS33301068
KEKProdQ107	20UPGM23610131	20UPGB43326034	20UPGS33301069
KEKProdQ108	20UPGM23610132	20UPGB43327001	20UPGS33301070
KEKProdQ109	20UPGM23610133	20UPGB43327002	20UPGS33301071
KEKProdQ110	20UPGM23610134	20UPGB43327003	20UPGS33301072
KEKProdQ111	20UPGM23610135	20UPGB43327004	20UPGS33301073
KEKProdQ112	20UPGM23610136	20UPGB43327005	20UPGS33301074
KEKProdQ113	20UPGM23610137	20UPGB43327006	20UPGS33301075
KEKProdQ114	20UPGM23610138	20UPGB43327007	20UPGS33301076
KEKProdQ115	20UPGM23610139	20UPGB43327008	20UPGS33301077
KEKProdQ116	20UPGM23610140	20UPGB43327009	20UPGS33301078
KEKProdQ117	20UPGM23610142	20UPGB43327010	20UPGS33301079
KEKProdQ118	20UPGM23610143	20UPGB43327011	20UPGS33301080
KEKProdQ119	20UPGM23610144	20UPGB43327012	20UPGS33301081
KEKProdQ120	20UPGM23610145	20UPGB43327013	20UPGS33301082
KEKProdQ121	20UPGM23610146	20UPGB43327014	20UPGS33301083
KEKProdQ122	20UPGM23610148	20UPGB43327015	20UPGS33301085
KEKProdQ123	20UPGM23610149	20UPGB43327016	20UPGS33301087
KEKProdQ124	20UPGM23610150	20UPGB43328001	20UPGS33301088
KEKProdQ125	20UPGM23610152	20UPGB43328002	20UPGS33301090
KEKProdQ126	20UPGM23610153	20UPGB43328003	20UPGS33301091
KEKProdQ127	20UPGM23610154	20UPGB43328004	20UPGS33301092
KEKProdQ128	20UPGM23610155	20UPGB43328005	20UPGS33301093
KEKProdQ129	20UPGM23610156	20UPGB43328006	20UPGS33301094
KEKProdQ130	20UPGM23610157	20UPGB43328007	20UPGS33301095
KEKProdQ132	20UPGM23610158	20UPGB43328009	20UPGS33301098
KEKProdQ134	20UPGM23610159	20UPGB43328011	20UPGS33301101
KEKProdQ135	20UPGM23610160	20UPGB43328012	20UPGS33301102
KEKProdQ136	20UPGM23610161	20UPGB43328013	20UPGS33301103
KEKProdQ137	20UPGM23610162	20UPGB43328014	20UPGS33301104
KEKProdQ138	20UPGM23610163	20UPGB43328015	20UPGS33301106
KEKProdQ139	20UPGM23610165	20UPGB43328016	20UPGS33301107
KEKProdQ140	20UPGM23610166	20UPGB43328017	20UPGS33301108
KEKProdQ141	20UPGM23610167	20UPGB43328018	20UPGS33301109
KEKProdQ142	20UPGM23610168	20UPGB43328019	20UPGS33301110
KEKProdQ143	20UPGM23610170	20UPGB43328020	20UPGS33301111
KEKProdQ144	20UPGM23610171	20UPGB43329001	20UPGS33301112
KEKProdQ145	20UPGM23610172	20UPGB43329002	20UPGS33301113
KEKProdQ146	20UPGM23610173	20UPGB43329003	20UPGS33301114
KEKProdQ147	20UPGM23610174	20UPGB43329004	20UPGS33301115
KEKProdQ148	20UPGM23610175	20UPGB43329005	20UPGS33301116
KEKProdQ149	20UPGM23610176	20UPGB43329006	20UPGS33301117
KEKProdQ150	20UPGM23610177	20UPGB43329007	20UPGS33301118
KEKProdQ151	20UPGM23610178	20UPGB43329008	20UPGS33301119
KEKProdQ152	20UPGM23610181	20UPGB43329009	20UPGS33301120
KEKProdQ153	20UPGM23610182	20UPGB43329010	20UPGS33301121
KEKProdQ154	20UPGM23610183	20UPGB43329011	20UPGS33301122
KEKProdQ155	20UPGM23610184	20UPGB43329012	20UPGS33301123
KEKProdQ156	20UPGM23610186	20UPGB43329013	20UPGS33301124
KEKProdQ157	20UPGM23610187	20UPGB43329014	20UPGS33301125
KEKProdQ158	20UPGM23610188	20UPGB43329015	20UPGS33301126
KEKProdQ159	20UPGM23610189	20UPGB43329016	20UPGS33301127
KEKProdQ160	20UPGM23610190	20UPGB43329017	20UPGS33301128
KEKProdQ161	20UPGM23610191	20UPGB43329018	20UPGS33301129
KEKProdQ162	20UPGM23610192	20UPGB43329019	20UPGS33301130
KEKProdQ163	20UPGM23610193	20UPGB43329020	20UPGS33301131
KEKProdQ164	20UPGM23610194	20UPGB43329021	20UPGS33301132
KEKProdQ165	20UPGM23610195	20UPGB43329022	20UPGS33301133
KEKProdQ166	20UPGM23610196	20UPGB43329023	20UPGS33301134
KEKProdQ167	20UPGM23610197	20UPGB43329024	20UPGS33301135
KEKProdQ168	20UPGM23610198	20UPGB43329025	20UPGS33300884
KEKProdQ169	20UPGM23610200	20UPGB43329026	20UPGS33300885
KEKProdQ170	20UPGM23610201	20UPGB43329027	20UPGS33300886
KEKProdQ171	20UPGM23610202	20UPGB43329028	20UPGS33300887
KEKProdQ172	20UPGM23610203	20UPGB43329029	20UPGS33300888
KEKProdQ173	20UPGM23610204	20UPGB43329030	20UPGS33300889
KEKProdQ174	20UPGM23610206	20UPGB43329031	20UPGS33301136
KEKProdQ175	20UPGM23610207	20UPGB43329032	20UPGS33301138
KEKProdQ176	20UPGM23610208	20UPGB43329033	20UPGS33301139
KEKProdQ177	20UPGM23610209	20UPGB43329034	20UPGS33301140
KEKProdQ178	20UPGM23610210	20UPGB43329035	20UPGS33301141
KEKProdQ179	20UPGM23610211	20UPGB43329036	20UPGS33301142
KEKProdQ180	20UPGM23610212	20UPGB43329037	20UPGS33301143
KEKProdQ181	20UPGM23610213	20UPGB43329038	20UPGS33301144
KEKProdQ182	20UPGM23610214	20UPGB43329039	20UPGS33301145
KEKProdQ183	20UPGM23610215	20UPGB43329040	20UPGS33301146
KEKProdQ184	20UPGM23610216	20UPGB43329041	20UPGS33301147
KEKProdQ185	20UPGM23610217	20UPGB43330001	20UPGS33301148
KEKProdQ187	20UPGM23610219	20UPGB43330003	20UPGS33301150
