SERIALNUMBER	BOTTOM	COVERLAY	DIELECTRIC	INNER	ALL
20UPGPQ2604013	33.70	86.20	84.80	12.50	231.50	34.90
20UPGPQ4610013	33.20	85.20	84.80	12.00	231.50	33.90
20UPGPQ4610014	31.20	85.70	87.30	13.00	229.50	33.40
20UPGPQ4610015	31.20	87.20	85.80	13.50	229.50	35.90
20UPGPQ4610017	33.20	85.70	83.80	13.00	231.50	33.40
20UPGPQ4610018	32.70	85.70	86.30	10.50	228.50	32.90
20UPGPQ4610019	32.20	85.20	85.80	10.50	228.00	31.40
20UPGPQ4610020	31.70	84.70	85.80	10.50	229.00	31.40
20UPGPQ4610026	34.70	87.20	83.30	10.50	229.00	31.40
20UPGPQ4610027	33.70	88.70	83.80	10.50	227.00	30.90
20UPGPQ4610028	34.70	84.20	85.30	9.00	229.00	29.90
20UPGPQ4610029	36.20	81.20	85.30	10.00	232.50	30.90
20UPGPQ4610030	34.20	82.70	84.80	11.50	229.50	31.90
20UPGPQ4610031	36.20	82.20	82.80	10.00	226.50	30.90
20UPGPQ4610032	34.20	81.70	85.30	10.50	230.00	30.90
20UPGPQ4610034	33.70	82.20	84.30	12.00	245.00	31.40
20UPGPQ4610035	32.70	82.70	83.30	12.00	229.00	30.40
20UPGPQ4610036	33.70	80.70	84.80	11.50	229.50	30.90
20UPGPQ4610037	35.20	89.20	85.30	13.50	234.50	37.40
20UPGPQ4610038	33.70	78.70	84.80	11.00	229.50	31.40
20UPGPQ4610039	34.20	79.70	85.30	11.00	231.00	34.40
20UPGPQ4610040	34.20	82.20	83.30	12.50	231.50	33.90
20UPGPQ4610041	34.20	81.20	85.80	11.00	231.50	33.40
20UPGPQ4610042	33.70	80.20	85.80	9.50	229.00	31.90
20UPGPQ4610043	32.20	81.20	84.80	11.00	229.00	31.40
20UPGPQ4610044	33.70	80.70	84.80	12.00	231.00	32.90
20UPGPQ4610045	33.20	79.70	85.80	12.00	231.00	33.90
20UPGPQ4610046	31.20	81.70	84.80	12.00	229.50	31.40
20UPGPQ4610047	31.20	81.70	85.80	11.00	229.00	30.90
20UPGPQ4610048	33.20	87.70	85.30	11.00	230.00	32.40
20UPGPQ4610049	34.20	87.70	84.30	12.50	232.50	32.40
20UPGPQ4610050	33.20	83.70	85.30	10.50	229.00	28.90
20UPGPQ4610051	33.20	86.70	83.80	11.00	229.00	31.40
20UPGPQ4610052	33.20	86.70	84.80	11.00	229.00	29.90
20UPGPQ4610053	36.70	85.20	84.80	10.50	232.00	33.90
20UPGPQ4610054	32.70	85.20	84.80	12.00	230.00	32.90
20UPGPQ4610055	32.20	85.70	83.80	12.50	228.50	31.90
20UPGPQ4610056	32.70	86.70	84.80	12.00	230.50	31.90
